Cryptocurrency,Arbitrage data,Indexes
bnb,"defaultdict(<class 'list'>, {'bigone': [0.64, 0.45, 0.35, 0.3, 0.24, 0.24, 0.24, 0.2, 0.19, 0.19, 0.19, 0.19], 'bitrue': [0.53, 0.34, 0.23, 0.19, 0.13, 0.13, 0.12, 0.09, 0.08, 0.08, 0.08, 0.08], 'digifinex': [0.51, 0.32, 0.21, 0.17, 0.11, 0.11, 0.11, 0.07, 0.06, 0.06, 0.06, 0.06], 'probit': [0.51, 0.32, 0.21, 0.17, 0.11, 0.11, 0.11, 0.07, 0.06, 0.06, 0.06, 0.06], 'fastex': [0.51, 0.32, 0.21, 0.17, 0.11, 0.11, 0.11, 0.07, 0.06, 0.06, 0.06, 0.06], 'poloniex': [0.5, 0.31, 0.21, 0.17, 0.11, 0.11, 0.1, 0.07, 0.06, 0.06, 0.05, 0.05], 'tidex': [0.49, 0.3, 0.2, 0.15, 0.09, 0.09, 0.09, 0.05, 0.04, 0.04, 0.04, 0.04], 'okx': [0.49, 0.3, 0.2, 0.15, 0.09, 0.09, 0.09, 0.05, 0.04, 0.04, 0.04, 0.04], 'phemex-spot': [0.49, 0.3, 0.2, 0.15, 0.09, 0.09, 0.09, 0.05, 0.04, 0.04, 0.04, 0.04], 'bybit-spot': [0.48, 0.29, 0.18, 0.14, 0.08, 0.08, 0.07, 0.04, 0.03, 0.03, 0.02, 0.02], 'binance': [0.47, 0.28, 0.18, 0.13, 0.08, 0.07, 0.07, 0.03, 0.02, 0.02, 0.02, 0.02], 'gateio': [0.47, 0.28, 0.18, 0.13, 0.08, 0.07, 0.07, 0.03, 0.02, 0.02, 0.02, 0.02]})","binance-us,nonkyc,xeggex,latoken,cryptology,bitget,btse,kucoin,bitmart,huobipro,bitmax,bydfi"
solana,"defaultdict(<class 'list'>, {'coinlist': [1.26, 1.26, 0.46, 0.38, 0.35, 0.3, 0.29, 0.28, 0.28, 0.27, 0.23, 0.23], 'huobipro': [1.19, 1.18, 0.38, 0.3, 0.28, 0.23, 0.22, 0.21, 0.2, 0.2, 0.16, 0.16], 'binance': [1.15, 1.15, 0.35, 0.27, 0.24, 0.19, 0.18, 0.17, 0.17, 0.16, 0.12, 0.12], 'mxc': [1.15, 1.15, 0.35, 0.27, 0.24, 0.19, 0.18, 0.17, 0.17, 0.16, 0.12, 0.12], 'bitmax': [1.15, 1.15, 0.35, 0.27, 0.24, 0.19, 0.18, 0.17, 0.16, 0.16, 0.12, 0.12], 'phemex-spot': [1.15, 1.14, 0.34, 0.26, 0.24, 0.19, 0.17, 0.17, 0.16, 0.16, 0.12, 0.12], 'crypto-com': [1.13, 1.12, 0.32, 0.24, 0.21, 0.17, 0.15, 0.14, 0.14, 0.13, 0.09, 0.09], 'gateio': [1.12, 1.11, 0.31, 0.23, 0.21, 0.16, 0.14, 0.14, 0.13, 0.13, 0.09, 0.09], 'coinbasepro': [1.11, 1.1, 0.3, 0.22, 0.2, 0.15, 0.14, 0.13, 0.12, 0.12, 0.08, 0.08], 'okx': [1.09, 1.08, 0.28, 0.2, 0.18, 0.13, 0.12, 0.11, 0.1, 0.1, 0.06, 0.06], 'binance-us': [1.08, 1.07, 0.27, 0.19, 0.16, 0.11, 0.1, 0.09, 0.09, 0.08, 0.04, 0.04], 'coinex': [1.03, 1.03, 0.22, 0.14, 0.12, 0.07, 0.06, 0.05, 0.04, 0.04, 0.0, 0.0]})","bitmex-spot,exmo,kraken,lbank,bitget,kucoin,bingx,bydfi,bybit-spot,bitso,bitmart,coinex"
lido-staked-ether,"defaultdict(<class 'list'>, {'latoken': [1.27, 0.41, 0.03, 0.02, -0.02, -0.39, -0.95, 0.0], 'okx': [0.94, 0.39, 0.02, -0.003, -0.38, -0.93, -0.33, 0.0], 'mxc': [0.92, 0.38, 0.003, -0.36, -0.92, 0.33, -0.36, 0.0], 'bitget': [0.91, 0.36, -0.36, -0.9, 0.36, -0.03, -0.37, 0.0], 'bybit-spot': [0.89, 0.36, -0.9, 0.36, 0.03, -0.03, -0.38, 0.0], 'bingx': [0.89, -0.53, 0.38, 0.03, -0.01, -0.05, -0.39, 0.0], 'gateio': [0.53, 0.38, 0.05, 0.01, -0.03, -0.06, -0.75, 0.0], 'huobipro': [0.74, 0.06, 0.03, -0.02, -0.03, -0.42, -1.29, 0.0]})","huobipro,gateio,bingx,bybit-spot,bitget,mxc,okx,latoken"
ripple,"defaultdict(<class 'list'>, {'fatbtc': [34.1, 32.7, 32.4, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3, 32.3], 'xeggex': [2.94, 0.93, 0.38, 0.36, 0.35, 0.34, 0.34, 0.32, 0.3, 0.28, 0.28, 0.23], 'exmo': [2.89, 0.89, 0.34, 0.32, 0.3, 0.3, 0.3, 0.27, 0.25, 0.24, 0.24, 0.19], 'btcalpha': [2.83, 0.82, 0.28, 0.25, 0.24, 0.23, 0.23, 0.21, 0.19, 0.17, 0.17, 0.12], 'btcturk-pro': [2.83, 0.82, 0.27, 0.25, 0.24, 0.23, 0.23, 0.2, 0.19, 0.17, 0.17, 0.12], 'bitstamp': [2.8, 0.79, 0.25, 0.22, 0.21, 0.21, 0.21, 0.18, 0.16, 0.14, 0.14, 0.09], 'probit': [2.79, 0.78, 0.23, 0.21, 0.19, 0.19, 0.19, 0.16, 0.14, 0.13, 0.13, 0.08], 'bitget': [2.78, 0.77, 0.23, 0.2, 0.19, 0.18, 0.18, 0.16, 0.14, 0.12, 0.12, 0.07], 'fastex': [2.75, 0.74, 0.19, 0.17, 0.15, 0.15, 0.15, 0.12, 0.1, 0.08, 0.08, 0.04], 'oceanex': [2.74, 0.73, 0.18, 0.16, 0.14, 0.14, 0.14, 0.11, 0.09, 0.08, 0.08, 0.03], 'coinsbit': [2.74, 0.73, 0.18, 0.16, 0.14, 0.14, 0.14, 0.11, 0.09, 0.07, 0.07, 0.03], 'kucoin': [2.73, 0.72, 0.17, 0.15, 0.13, 0.13, 0.13, 0.1, 0.08, 0.06, 0.06, 0.02]})","yobit,cex,okx,bitso,crypto-com,tidex,binance,huobipro,kraken,coinbasepro,bitmax,gateio"
dogecoin,"defaultdict(<class 'list'>, {'yobit': [1.25, 0.95, 0.94, 0.92, 0.91, 0.91, 0.91, 0.91, 0.9, 0.9, 0.9, 0.89], 'coinbasepro': [0.62, 0.32, 0.31, 0.29, 0.28, 0.28, 0.28, 0.28, 0.27, 0.27, 0.27, 0.26], 'probit': [0.6, 0.29, 0.28, 0.26, 0.26, 0.26, 0.26, 0.26, 0.25, 0.25, 0.25, 0.24], 'kraken': [0.58, 0.27, 0.26, 0.24, 0.23, 0.23, 0.23, 0.23, 0.22, 0.22, 0.22, 0.21], 'binance': [0.44, 0.13, 0.12, 0.1, 0.09, 0.09, 0.09, 0.09, 0.08, 0.08, 0.08, 0.07], 'crypto-com': [0.41, 0.1, 0.1, 0.08, 0.07, 0.07, 0.07, 0.07, 0.06, 0.06, 0.06, 0.05], 'oceanex': [0.41, 0.1, 0.09, 0.08, 0.07, 0.07, 0.07, 0.07, 0.06, 0.06, 0.06, 0.05], 'fastex': [0.41, 0.1, 0.09, 0.07, 0.07, 0.07, 0.07, 0.07, 0.06, 0.06, 0.06, 0.05], 'coinw': [0.41, 0.1, 0.09, 0.07, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04], 'huobipro': [0.41, 0.1, 0.09, 0.07, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.05, 0.04], 'tidex': [0.4, 0.09, 0.08, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03], 'fmfwio': [0.38, 0.08, 0.07, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02]})","xeggex,exmo,kucoin,bingx,coinlist,btcturk-pro,bitmax,mxc,phemex-spot,okx,bitget,binance-us"
toncoin,"defaultdict(<class 'list'>, {'bitmax': [0.52, 0.37, 0.37, 0.37, 0.36, 0.36, 0.35, 0.35, 0.13, 0.09, 0.06, 0.03], 'cryptology': [0.3, 0.15, 0.15, 0.15, 0.15, 0.15, 0.14, 0.14, 0.1, 0.07, 0.03, 0.03], 'kucoin': [0.26, 0.11, 0.11, 0.11, 0.11, 0.11, 0.1, 0.1, 0.08, 0.04, 0.03, 0.001], 'exmo': [0.25, 0.1, 0.1, 0.1, 0.09, 0.09, 0.08, 0.08, 0.05, 0.04, 0.01, -0.01], 'bybit-spot': [0.22, 0.07, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.05, 0.01, 0.01, -0.01], 'bingx': [0.22, 0.07, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.02, 0.01, -0.01, -0.02], 'bitmart': [0.19, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03, 0.02, 0.02, 0.01, -0.02, -0.02], 'bitget': [0.19, 0.04, 0.04, 0.04, 0.03, 0.03, 0.03, 0.02, 0.02, -0.01, -0.02, 0.0], 'crypto-com': [0.18, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02, 0.02, 0.01, -0.01, 0.33, 0.0], 'mxc': [0.18, 0.03, 0.03, 0.03, 0.02, 0.02, 0.01, 0.01, -0.001, 0.33, 0.11, 0.0], 'bitrue': [0.17, 0.02, 0.02, 0.02, 0.01, 0.01, 0.01, 0.001, 0.34, 0.12, 0.07, 0.0], 'huobipro': [0.17, 0.02, 0.02, 0.02, 0.01, 0.01, 0.004, 0.35, 0.13, 0.08, 0.06, 0.0]})","coinw,lbank,coinsbit,gateio,bigone,coinex,okx,huobipro,bitrue,mxc,crypto-com,bitget"
cardano,"defaultdict(<class 'list'>, {'upbit': [10.8, 5.97, 5.83, 5.81, 5.65, 5.64, 5.63, 5.63, 5.63, 5.62, 5.61, 5.61], 'bitmax': [5.79, 0.74, 0.59, 0.57, 0.4, 0.39, 0.38, 0.38, 0.38, 0.37, 0.36, 0.36], 'kraken': [5.73, 0.68, 0.52, 0.51, 0.34, 0.33, 0.32, 0.32, 0.32, 0.31, 0.29, 0.29], 'kucoin': [5.66, 0.6, 0.45, 0.44, 0.27, 0.25, 0.24, 0.24, 0.24, 0.24, 0.22, 0.22], 'nonkyc': [5.58, 0.52, 0.37, 0.35, 0.18, 0.17, 0.16, 0.16, 0.16, 0.15, 0.13, 0.13], 'exmo': [5.57, 0.51, 0.35, 0.34, 0.17, 0.16, 0.15, 0.15, 0.15, 0.14, 0.12, 0.12], 'binance-us': [5.57, 0.51, 0.35, 0.34, 0.17, 0.16, 0.15, 0.15, 0.15, 0.14, 0.12, 0.12], 'coinbasepro': [5.57, 0.51, 0.35, 0.34, 0.17, 0.16, 0.15, 0.15, 0.15, 0.14, 0.12, 0.12], 'bybit-spot': [5.55, 0.48, 0.33, 0.31, 0.15, 0.13, 0.12, 0.12, 0.12, 0.12, 0.1, 0.1], 'bitget': [5.53, 0.47, 0.32, 0.3, 0.13, 0.12, 0.11, 0.11, 0.11, 0.1, 0.08, 0.08], 'bydfi': [5.52, 0.46, 0.31, 0.29, 0.12, 0.11, 0.1, 0.1, 0.1, 0.09, 0.07, 0.07], 'coinex': [5.52, 0.46, 0.31, 0.29, 0.12, 0.11, 0.1, 0.1, 0.1, 0.09, 0.07, 0.07]})","cex,coinsbit,xeggex,btcturk-pro,phemex-spot,oceanex,fastex,mxc,p2pb2b,tidex,bitrue,binance"
shiba-inu,"defaultdict(<class 'list'>, {'cex': [4.93, 4.05, 4.05, 3.81, 3.81, 3.81, 3.75, 3.75, 3.75, 3.75, 3.75, 3.75], 'digifinex': [1.55, 0.64, 0.64, 0.39, 0.39, 0.39, 0.33, 0.33, 0.33, 0.33, 0.33, 0.33], 'kucoin': [1.35, 0.44, 0.44, 0.19, 0.19, 0.19, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13], 'cryptology': [1.35, 0.44, 0.44, 0.19, 0.19, 0.19, 0.13, 0.13, 0.13, 0.13, 0.13, 0.13], 'gateio': [1.34, 0.43, 0.43, 0.18, 0.18, 0.18, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12], 'probit': [1.34, 0.43, 0.43, 0.18, 0.18, 0.18, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12], 'kraken': [1.34, 0.43, 0.43, 0.18, 0.18, 0.18, 0.12, 0.12, 0.12, 0.12, 0.12, 0.12], 'crypto-com': [1.33, 0.41, 0.41, 0.17, 0.17, 0.17, 0.11, 0.11, 0.11, 0.11, 0.11, 0.11], 'okx': [1.28, 0.37, 0.37, 0.13, 0.13, 0.13, 0.07, 0.07, 0.07, 0.07, 0.07, 0.07], 'bybit-spot': [1.28, 0.37, 0.37, 0.12, 0.12, 0.12, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06], 'binance': [1.28, 0.37, 0.36, 0.12, 0.12, 0.12, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06], 'huobipro': [1.28, 0.37, 0.36, 0.12, 0.12, 0.12, 0.06, 0.06, 0.06, 0.06, 0.06, 0.06]})","xeggex,bitmax,bigone,exmo,binance-us,coinbasepro,fastex,phemex-spot,deepcoin,mxc,p2pb2b,bydfi"
avalanche,"defaultdict(<class 'list'>, {'coinsbit': [0.72, 0.61, 0.57, 0.53, 0.53, 0.53, 0.51, 0.49, 0.49, 0.49, 0.49, 0.49], 'bitmax': [0.65, 0.54, 0.51, 0.47, 0.47, 0.47, 0.44, 0.43, 0.43, 0.43, 0.43, 0.43], 'latoken': [0.61, 0.51, 0.47, 0.43, 0.43, 0.43, 0.4, 0.39, 0.39, 0.39, 0.39, 0.39], 'xeggex': [0.5, 0.39, 0.35, 0.32, 0.32, 0.32, 0.29, 0.28, 0.28, 0.28, 0.28, 0.28], 'kraken': [0.38, 0.27, 0.23, 0.2, 0.2, 0.2, 0.17, 0.16, 0.16, 0.16, 0.16, 0.16], 'coinex': [0.32, 0.22, 0.18, 0.14, 0.14, 0.14, 0.11, 0.1, 0.1, 0.1, 0.1, 0.1], 'mxc': [0.26, 0.16, 0.12, 0.08, 0.08, 0.08, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04], 'bigone': [0.26, 0.16, 0.12, 0.08, 0.08, 0.08, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04], 'coinbasepro': [0.26, 0.16, 0.12, 0.08, 0.08, 0.08, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04], 'binance-us': [0.26, 0.16, 0.12, 0.08, 0.08, 0.08, 0.05, 0.04, 0.04, 0.04, 0.04, 0.04], 'coinlist': [0.26, 0.15, 0.11, 0.07, 0.07, 0.07, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03], 'bybit-spot': [0.25, 0.15, 0.11, 0.07, 0.07, 0.07, 0.04, 0.03, 0.03, 0.03, 0.03, 0.03]})","nonkyc,phemex-spot,lbank,probit,btcturk-pro,poloniex,btse,bingx,bitrue,gateio,tidex,bydfi"
chainlink,"defaultdict(<class 'list'>, {'poloniex': [0.8, 0.28, 0.24, 0.24, 0.24, 0.24, 0.24, 0.23, 0.22, 0.22, 0.21, 0.19], 'btcturk-pro': [0.77, 0.26, 0.22, 0.22, 0.22, 0.22, 0.21, 0.2, 0.2, 0.19, 0.19, 0.17], 'nonkyc': [0.75, 0.23, 0.19, 0.19, 0.19, 0.19, 0.19, 0.18, 0.17, 0.17, 0.16, 0.14], 'binance': [0.66, 0.15, 0.11, 0.11, 0.11, 0.11, 0.1, 0.09, 0.09, 0.08, 0.08, 0.06], 'exmo': [0.66, 0.15, 0.11, 0.11, 0.11, 0.11, 0.1, 0.09, 0.09, 0.08, 0.08, 0.06], 'crypto-com': [0.66, 0.15, 0.11, 0.11, 0.11, 0.11, 0.1, 0.09, 0.09, 0.08, 0.08, 0.06], 'coinex': [0.66, 0.15, 0.11, 0.11, 0.11, 0.11, 0.1, 0.09, 0.09, 0.08, 0.08, 0.06], 'coinw': [0.66, 0.15, 0.11, 0.11, 0.11, 0.11, 0.1, 0.09, 0.09, 0.08, 0.08, 0.05], 'bitget': [0.66, 0.14, 0.11, 0.11, 0.11, 0.1, 0.1, 0.09, 0.08, 0.08, 0.08, 0.05], 'kucoin': [0.66, 0.14, 0.1, 0.1, 0.1, 0.1, 0.1, 0.09, 0.08, 0.08, 0.07, 0.05], 'okx': [0.65, 0.14, 0.1, 0.1, 0.1, 0.1, 0.09, 0.09, 0.08, 0.08, 0.07, 0.05], 'oceanex': [0.64, 0.12, 0.09, 0.09, 0.08, 0.08, 0.08, 0.07, 0.06, 0.06, 0.05, 0.03]})","coinbasepro,probit,bitrue,bydfi,kraken,huobipro,bingx,bybit-spot,gateio,btse,binance-us,bitmax"
