Cryptocurrency,Arbitrage data,Indexes
bnb,"defaultdict(<class 'list'>, {'xeggex': [1.13, 0.62, 0.42, 0.26, 0.25, 0.25, 0.23, 0.23, 0.22, 0.22, 0.22, 0.22], 'nonkyc': [1.03, 0.52, 0.33, 0.17, 0.16, 0.16, 0.13, 0.13, 0.12, 0.12, 0.12, 0.12], 'bitget': [1.02, 0.51, 0.32, 0.16, 0.15, 0.15, 0.12, 0.12, 0.11, 0.11, 0.11, 0.11], 'mxc': [1.0, 0.49, 0.29, 0.13, 0.12, 0.12, 0.1, 0.1, 0.09, 0.09, 0.09, 0.09], 'phemex-spot': [1.0, 0.49, 0.29, 0.13, 0.12, 0.12, 0.1, 0.1, 0.09, 0.09, 0.09, 0.09], 'bitmart': [0.98, 0.47, 0.27, 0.11, 0.1, 0.1, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07], 'bybit-spot': [0.98, 0.47, 0.27, 0.11, 0.1, 0.1, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07], 'cryptology': [0.98, 0.47, 0.27, 0.11, 0.1, 0.1, 0.08, 0.08, 0.07, 0.07, 0.07, 0.07], 'bitrue': [0.96, 0.45, 0.26, 0.1, 0.09, 0.09, 0.06, 0.06, 0.05, 0.05, 0.05, 0.05], 'bingx': [0.95, 0.44, 0.24, 0.08, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.04, 0.04], 'binance': [0.94, 0.44, 0.24, 0.08, 0.07, 0.07, 0.05, 0.04, 0.03, 0.03, 0.03, 0.03], 'kucoin': [0.94, 0.43, 0.23, 0.07, 0.06, 0.06, 0.04, 0.04, 0.03, 0.03, 0.03, 0.03]})","bigone,latoken,binance-us,huobipro,bydfi,tidex,probit,btse,gateio,okx,bitmax,poloniex"
solana,"defaultdict(<class 'list'>, {'exmo': [4.82, 0.57, 0.5, 0.44, 0.38, 0.36, 0.31, 0.31, 0.3, 0.3, 0.29, 0.29], 'coinbasepro': [4.78, 0.53, 0.45, 0.39, 0.34, 0.31, 0.26, 0.26, 0.26, 0.25, 0.25, 0.24], 'okx': [4.71, 0.45, 0.38, 0.32, 0.26, 0.24, 0.19, 0.19, 0.18, 0.18, 0.17, 0.17], 'bitget': [4.64, 0.38, 0.31, 0.25, 0.19, 0.17, 0.12, 0.12, 0.11, 0.1, 0.1, 0.1], 'huobipro': [4.64, 0.38, 0.3, 0.24, 0.19, 0.16, 0.11, 0.11, 0.1, 0.1, 0.09, 0.09], 'gateio': [4.63, 0.37, 0.3, 0.24, 0.18, 0.16, 0.11, 0.11, 0.1, 0.09, 0.09, 0.09], 'coinex': [4.63, 0.37, 0.3, 0.24, 0.18, 0.16, 0.11, 0.11, 0.1, 0.09, 0.09, 0.09], 'crypto-com': [4.6, 0.33, 0.26, 0.2, 0.14, 0.12, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05], 'bydfi': [4.59, 0.33, 0.25, 0.19, 0.14, 0.11, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04], 'phemex-spot': [4.59, 0.33, 0.25, 0.19, 0.14, 0.11, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04], 'bingx': [4.55, 0.29, 0.21, 0.15, 0.1, 0.08, 0.03, 0.03, 0.02, 0.01, 0.01, 0.005], 'bitmax': [4.55, 0.29, 0.21, 0.15, 0.1, 0.07, 0.02, 0.02, 0.01, 0.01, 0.002, 0.0]})","bitmex-spot,coinlist,binance-us,bitso,bitmart,lbank,kraken,mxc,kucoin,bybit-spot,binance,bitmax"
lido-staked-ether,"defaultdict(<class 'list'>, {'bybit-spot': [1.03, 0.95, 0.2, 0.04, -0.2, -0.79, -1.04, 0.0], 'mxc': [1.03, 0.79, 0.2, -0.16, -0.79, -0.88, -0.001, 0.0], 'okx': [0.87, 0.78, 0.16, -0.75, -0.87, 0.001, -0.16, 0.0], 'huobipro': [0.86, 0.74, -0.59, -0.83, 0.16, -0.16, -0.17, 0.0], 'bingx': [0.82, 0.58, -0.67, 0.17, 0.16, -0.17, -0.21, 0.0], 'bitget': [0.67, -0.08, 0.21, 0.17, -0.01, -0.21, -0.36, 0.0], 'gateio': [0.08, 0.36, 0.21, 0.01, -0.05, -0.36, -0.96, 0.0], 'latoken': [0.95, 0.36, 0.05, -0.04, -0.2, -0.95, -1.04, 0.0]})","latoken,gateio,bitget,bingx,huobipro,okx,mxc,bybit-spot"
ripple,"defaultdict(<class 'list'>, {'fatbtc': [22.7, 22.7, 22.7, 22.6, 22.6, 22.6, 22.6, 22.6, 22.6, 22.5, 22.5, 22.5], 'bitstamp': [0.62, 0.6, 0.59, 0.52, 0.51, 0.5, 0.5, 0.49, 0.48, 0.41, 0.36, 0.35], 'xeggex': [0.55, 0.53, 0.52, 0.46, 0.45, 0.44, 0.44, 0.42, 0.41, 0.34, 0.29, 0.29], 'coinbasepro': [0.52, 0.5, 0.49, 0.43, 0.42, 0.41, 0.41, 0.39, 0.38, 0.32, 0.26, 0.26], 'bitmax': [0.37, 0.35, 0.34, 0.28, 0.27, 0.26, 0.26, 0.24, 0.24, 0.17, 0.11, 0.11], 'btcalpha': [0.37, 0.35, 0.34, 0.28, 0.27, 0.26, 0.26, 0.24, 0.23, 0.17, 0.11, 0.11], 'binance': [0.34, 0.32, 0.31, 0.24, 0.23, 0.22, 0.22, 0.21, 0.2, 0.13, 0.07, 0.07], 'okx': [0.34, 0.32, 0.31, 0.24, 0.23, 0.22, 0.22, 0.21, 0.2, 0.13, 0.07, 0.07], 'bingx': [0.34, 0.32, 0.31, 0.24, 0.23, 0.22, 0.22, 0.21, 0.2, 0.13, 0.07, 0.07], 'bitso': [0.34, 0.32, 0.31, 0.24, 0.23, 0.22, 0.22, 0.21, 0.2, 0.13, 0.07, 0.07], 'kucoin': [0.32, 0.3, 0.29, 0.23, 0.22, 0.21, 0.21, 0.19, 0.18, 0.12, 0.06, 0.06], 'fastex': [0.32, 0.3, 0.29, 0.22, 0.21, 0.21, 0.2, 0.19, 0.18, 0.11, 0.06, 0.05]})","phemex-spot,cex,bitget,btcturk-pro,coinsbit,probit,crypto-com,bybit-spot,kraken,binance-us,tidex,oceanex"
dogecoin,"defaultdict(<class 'list'>, {'coinbasepro': [1.27, 1.09, 1.01, 0.97, 0.95, 0.91, 0.91, 0.89, 0.87, 0.81, 0.8, 0.8], 'probit': [1.1, 0.92, 0.84, 0.8, 0.78, 0.74, 0.73, 0.72, 0.7, 0.64, 0.63, 0.63], 'kucoin': [0.8, 0.61, 0.53, 0.49, 0.47, 0.43, 0.43, 0.41, 0.4, 0.33, 0.32, 0.32], 'bybit-spot': [0.73, 0.55, 0.47, 0.43, 0.41, 0.37, 0.36, 0.35, 0.33, 0.27, 0.26, 0.26], 'binance': [0.72, 0.53, 0.45, 0.41, 0.39, 0.35, 0.35, 0.33, 0.31, 0.25, 0.24, 0.24], 'bingx': [0.72, 0.53, 0.45, 0.41, 0.39, 0.35, 0.35, 0.33, 0.31, 0.25, 0.24, 0.24], 'tidex': [0.66, 0.48, 0.4, 0.36, 0.34, 0.3, 0.3, 0.28, 0.26, 0.2, 0.19, 0.19], 'crypto-com': [0.65, 0.47, 0.39, 0.35, 0.33, 0.29, 0.29, 0.27, 0.25, 0.19, 0.18, 0.18], 'binance-us': [0.58, 0.4, 0.32, 0.27, 0.25, 0.22, 0.21, 0.19, 0.18, 0.12, 0.11, 0.11], 'bitget': [0.57, 0.38, 0.3, 0.26, 0.24, 0.2, 0.2, 0.18, 0.16, 0.1, 0.09, 0.09], 'phemex-spot': [0.56, 0.38, 0.3, 0.26, 0.24, 0.2, 0.19, 0.18, 0.16, 0.1, 0.09, 0.09], 'p2pb2b': [0.52, 0.34, 0.26, 0.22, 0.2, 0.16, 0.15, 0.14, 0.12, 0.06, 0.05, 0.05]})","yobit,xeggex,btcturk-pro,exmo,huobipro,coinw,bigone,okx,fastex,fmfwio,bitmax,lbank"
toncoin,"defaultdict(<class 'list'>, {'bitmax': [0.45, 0.43, 0.41, 0.41, 0.41, 0.38, 0.37, 0.37, 0.13, 0.12, 0.11, 0.07], 'okx': [0.21, 0.2, 0.17, 0.17, 0.17, 0.14, 0.14, 0.13, 0.12, 0.11, 0.09, 0.05], 'gateio': [0.2, 0.18, 0.16, 0.16, 0.16, 0.13, 0.12, 0.12, 0.12, 0.1, 0.07, 0.05], 'exmo': [0.19, 0.18, 0.16, 0.16, 0.16, 0.13, 0.12, 0.12, 0.1, 0.08, 0.07, -0.02], 'bigone': [0.18, 0.16, 0.14, 0.14, 0.14, 0.11, 0.11, 0.1, 0.08, 0.08, 0.02, -0.03], 'coinex': [0.16, 0.15, 0.12, 0.12, 0.12, 0.1, 0.09, 0.09, 0.08, 0.03, -0.01, -0.03], 'coinw': [0.16, 0.14, 0.12, 0.12, 0.12, 0.09, 0.08, 0.08, 0.03, 0.01, -0.01, -0.03], 'crypto-com': [0.11, 0.1, 0.07, 0.07, 0.07, 0.05, 0.04, 0.03, 0.01, -0.001, -0.01, 0.0], 'bitrue': [0.09, 0.07, 0.05, 0.05, 0.05, 0.02, 0.01, 0.01, 0.001, -0.002, 0.33, 0.0], 'bitget': [0.08, 0.07, 0.04, 0.04, 0.04, 0.01, 0.01, 0.002, -0.001, 0.36, 0.1, 0.0], 'bingx': [0.08, 0.06, 0.04, 0.04, 0.04, 0.01, 0.01, 0.001, 0.37, 0.12, 0.09, 0.0], 'kucoin': [0.08, 0.06, 0.04, 0.04, 0.04, 0.01, 0.004, 0.37, 0.13, 0.11, 0.08, 0.0]})","mxc,cryptology,bybit-spot,bitmart,lbank,coinsbit,huobipro,kucoin,bingx,bitget,bitrue,crypto-com"
cardano,"defaultdict(<class 'list'>, {'coinbasepro': [0.68, 0.52, 0.45, 0.45, 0.43, 0.35, 0.34, 0.34, 0.34, 0.32, 0.32, 0.32], 'bitmax': [0.6, 0.44, 0.37, 0.37, 0.35, 0.27, 0.26, 0.26, 0.26, 0.24, 0.24, 0.24], 'mxc': [0.57, 0.41, 0.34, 0.34, 0.32, 0.24, 0.23, 0.23, 0.23, 0.2, 0.2, 0.2], 'binance-us': [0.5, 0.34, 0.27, 0.27, 0.25, 0.17, 0.16, 0.16, 0.16, 0.14, 0.14, 0.14], 'okx': [0.48, 0.32, 0.25, 0.25, 0.23, 0.15, 0.14, 0.14, 0.14, 0.11, 0.11, 0.11], 'exmo': [0.48, 0.32, 0.25, 0.25, 0.23, 0.15, 0.14, 0.14, 0.14, 0.11, 0.11, 0.11], 'coinex': [0.45, 0.29, 0.23, 0.23, 0.21, 0.13, 0.11, 0.11, 0.11, 0.09, 0.09, 0.09], 'coinsbit': [0.44, 0.28, 0.21, 0.21, 0.2, 0.11, 0.1, 0.1, 0.1, 0.08, 0.08, 0.08], 'p2pb2b': [0.43, 0.27, 0.2, 0.2, 0.19, 0.1, 0.09, 0.09, 0.09, 0.07, 0.07, 0.07], 'fastex': [0.43, 0.27, 0.2, 0.2, 0.19, 0.1, 0.09, 0.09, 0.09, 0.07, 0.07, 0.07], 'kraken': [0.42, 0.26, 0.19, 0.19, 0.17, 0.09, 0.08, 0.08, 0.08, 0.06, 0.06, 0.06], 'huobipro': [0.42, 0.26, 0.19, 0.19, 0.17, 0.09, 0.08, 0.08, 0.08, 0.06, 0.06, 0.06]})","nonkyc,phemex-spot,xeggex,btcturk-pro,bitget,crypto-com,bitrue,bybit-spot,binance,bingx,bydfi,gateio"
shiba-inu,"defaultdict(<class 'list'>, {'coinbasepro': [1.05, 1.05, 0.76, 0.71, 0.68, 0.68, 0.68, 0.63, 0.63, 0.63, 0.63, 0.59], 'bitmax': [0.9, 0.9, 0.61, 0.55, 0.53, 0.53, 0.53, 0.47, 0.47, 0.47, 0.47, 0.43], 'bigone': [0.79, 0.79, 0.5, 0.44, 0.42, 0.42, 0.42, 0.37, 0.37, 0.37, 0.37, 0.33], 'kraken': [0.79, 0.79, 0.5, 0.44, 0.42, 0.42, 0.42, 0.37, 0.37, 0.37, 0.37, 0.33], 'binance': [0.63, 0.63, 0.34, 0.29, 0.26, 0.26, 0.26, 0.21, 0.21, 0.21, 0.21, 0.17], 'latoken': [0.63, 0.63, 0.34, 0.29, 0.26, 0.26, 0.26, 0.21, 0.21, 0.21, 0.21, 0.17], 'bingx': [0.63, 0.63, 0.34, 0.29, 0.26, 0.26, 0.26, 0.21, 0.21, 0.21, 0.21, 0.17], 'btcturk-pro': [0.58, 0.58, 0.29, 0.23, 0.21, 0.21, 0.21, 0.16, 0.16, 0.16, 0.16, 0.12], 'deepcoin': [0.58, 0.58, 0.29, 0.23, 0.21, 0.21, 0.21, 0.16, 0.16, 0.16, 0.16, 0.12], 'fastex': [0.58, 0.58, 0.29, 0.23, 0.21, 0.21, 0.21, 0.16, 0.16, 0.16, 0.16, 0.12], 'okx': [0.58, 0.58, 0.29, 0.23, 0.21, 0.21, 0.21, 0.15, 0.15, 0.15, 0.15, 0.11], 'kucoin': [0.55, 0.55, 0.26, 0.2, 0.18, 0.18, 0.18, 0.13, 0.13, 0.13, 0.13, 0.09]})","probit,indodax,digifinex,bitget,exmo,binance-us,phemex-spot,huobipro,gateio,p2pb2b,bydfi,bybit-spot"
avalanche,"defaultdict(<class 'list'>, {'coinbasepro': [0.75, 0.74, 0.64, 0.61, 0.61, 0.54, 0.54, 0.5, 0.49, 0.48, 0.47, 0.47], 'xeggex': [0.68, 0.67, 0.57, 0.54, 0.54, 0.46, 0.46, 0.43, 0.41, 0.41, 0.39, 0.39], 'latoken': [0.62, 0.61, 0.51, 0.48, 0.48, 0.41, 0.41, 0.37, 0.35, 0.35, 0.33, 0.33], 'nonkyc': [0.5, 0.49, 0.39, 0.35, 0.35, 0.28, 0.28, 0.25, 0.23, 0.23, 0.21, 0.21], 'btcturk-pro': [0.47, 0.46, 0.36, 0.32, 0.32, 0.25, 0.25, 0.22, 0.2, 0.2, 0.18, 0.18], 'coinsbit': [0.43, 0.42, 0.32, 0.29, 0.29, 0.21, 0.21, 0.18, 0.16, 0.16, 0.14, 0.14], 'binance-us': [0.4, 0.39, 0.28, 0.25, 0.25, 0.18, 0.18, 0.14, 0.13, 0.12, 0.11, 0.11], 'poloniex': [0.39, 0.38, 0.27, 0.24, 0.24, 0.17, 0.17, 0.13, 0.12, 0.11, 0.1, 0.1], 'okx': [0.38, 0.37, 0.27, 0.23, 0.23, 0.16, 0.16, 0.13, 0.11, 0.11, 0.09, 0.09], 'crypto-com': [0.36, 0.35, 0.25, 0.22, 0.22, 0.15, 0.15, 0.11, 0.09, 0.09, 0.08, 0.08], 'probit': [0.36, 0.35, 0.25, 0.22, 0.22, 0.14, 0.14, 0.11, 0.09, 0.09, 0.07, 0.07], 'kucoin': [0.33, 0.32, 0.22, 0.19, 0.19, 0.12, 0.12, 0.08, 0.06, 0.06, 0.04, 0.04]})","bitmax,digifinex,bitget,phemex-spot,lbank,bitmart,kraken,gateio,bybit-spot,coinw,bingx,bigone"
chainlink,"defaultdict(<class 'list'>, {'coinbasepro': [0.89, 0.83, 0.77, 0.77, 0.72, 0.72, 0.71, 0.68, 0.67, 0.63, 0.62, 0.61], 'oceanex': [0.46, 0.4, 0.34, 0.34, 0.29, 0.28, 0.28, 0.25, 0.24, 0.2, 0.19, 0.17], 'fmfwio': [0.45, 0.39, 0.33, 0.33, 0.28, 0.28, 0.27, 0.24, 0.23, 0.19, 0.18, 0.17], 'exmo': [0.45, 0.39, 0.33, 0.33, 0.28, 0.27, 0.27, 0.24, 0.23, 0.19, 0.18, 0.17], 'coinex': [0.42, 0.35, 0.3, 0.29, 0.24, 0.24, 0.24, 0.2, 0.2, 0.15, 0.15, 0.13], 'kucoin': [0.41, 0.35, 0.29, 0.29, 0.24, 0.24, 0.24, 0.2, 0.2, 0.15, 0.15, 0.13], 'poloniex': [0.4, 0.34, 0.28, 0.28, 0.23, 0.23, 0.22, 0.19, 0.18, 0.14, 0.14, 0.12], 'btcturk-pro': [0.4, 0.34, 0.28, 0.28, 0.23, 0.23, 0.22, 0.19, 0.18, 0.14, 0.14, 0.12], 'okx': [0.38, 0.32, 0.26, 0.26, 0.21, 0.21, 0.2, 0.17, 0.16, 0.12, 0.11, 0.1], 'gateio': [0.34, 0.28, 0.22, 0.22, 0.17, 0.16, 0.16, 0.13, 0.12, 0.08, 0.07, 0.06], 'huobipro': [0.34, 0.27, 0.22, 0.21, 0.16, 0.16, 0.16, 0.12, 0.12, 0.07, 0.07, 0.05], 'bydfi': [0.33, 0.26, 0.21, 0.2, 0.15, 0.15, 0.15, 0.11, 0.11, 0.06, 0.06, 0.04]})","binance-us,phemex-spot,bitget,nonkyc,crypto-com,probit,bitmax,bybit-spot,kraken,bitrue,btse,bingx"
