Cryptocurrency,Arbitrage data,Indexes
bnb,"defaultdict(<class 'list'>, {'nonkyc': [0.59, 0.56, 0.48, 0.48, 0.48, 0.47, 0.47, 0.47, 0.46, 0.45, 0.44, 0.44], 'bitmax': [0.25, 0.21, 0.14, 0.13, 0.13, 0.13, 0.13, 0.12, 0.12, 0.1, 0.1, 0.1], 'phemex-spot': [0.23, 0.2, 0.12, 0.12, 0.12, 0.11, 0.11, 0.1, 0.1, 0.09, 0.08, 0.08], 'tidex': [0.21, 0.18, 0.1, 0.1, 0.1, 0.09, 0.09, 0.08, 0.08, 0.07, 0.06, 0.06], 'gateio': [0.2, 0.16, 0.09, 0.08, 0.08, 0.08, 0.08, 0.07, 0.07, 0.05, 0.05, 0.05], 'probit': [0.19, 0.16, 0.08, 0.08, 0.08, 0.07, 0.07, 0.07, 0.06, 0.05, 0.04, 0.04], 'kucoin': [0.19, 0.16, 0.08, 0.08, 0.08, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04], 'binance': [0.18, 0.15, 0.07, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03], 'bitmart': [0.18, 0.15, 0.07, 0.07, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03], 'bingx': [0.18, 0.15, 0.07, 0.06, 0.06, 0.06, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03], 'cryptology': [0.17, 0.14, 0.06, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.02], 'okx': [0.17, 0.13, 0.05, 0.05, 0.05, 0.05, 0.04, 0.04, 0.03, 0.02, 0.02, 0.02]})","xeggex,mxc,oceanex,fastex,binance-us,bybit-spot,btse,poloniex,latoken,bitget,bydfi,bitrue"
solana,"defaultdict(<class 'list'>, {'coinlist': [2.88, 0.65, 0.64, 0.58, 0.57, 0.57, 0.51, 0.46, 0.42, 0.37, 0.36, 0.35], 'bitmax': [2.76, 0.53, 0.52, 0.46, 0.45, 0.45, 0.39, 0.33, 0.3, 0.25, 0.23, 0.23], 'binance-us': [2.6, 0.36, 0.35, 0.29, 0.28, 0.28, 0.23, 0.17, 0.13, 0.08, 0.07, 0.06], 'gateio': [2.57, 0.34, 0.33, 0.26, 0.26, 0.26, 0.2, 0.14, 0.11, 0.06, 0.04, 0.03], 'coinex': [2.57, 0.34, 0.33, 0.26, 0.26, 0.26, 0.2, 0.14, 0.11, 0.06, 0.04, 0.03], 'bybit-spot': [2.56, 0.32, 0.31, 0.25, 0.24, 0.24, 0.18, 0.13, 0.09, 0.04, 0.03, 0.02], 'bydfi': [2.56, 0.32, 0.31, 0.25, 0.24, 0.24, 0.18, 0.13, 0.09, 0.04, 0.03, 0.02], 'bitget': [2.55, 0.31, 0.3, 0.24, 0.24, 0.24, 0.18, 0.12, 0.08, 0.03, 0.02, 0.01], 'phemex-spot': [2.54, 0.31, 0.3, 0.24, 0.23, 0.23, 0.17, 0.11, 0.08, 0.03, 0.01, 0.01], 'mxc': [2.54, 0.3, 0.29, 0.23, 0.22, 0.22, 0.16, 0.11, 0.07, 0.02, 0.01, 0.0], 'kraken': [2.54, 0.3, 0.29, 0.23, 0.22, 0.22, 0.16, 0.11, 0.07, 0.02, 0.01, 0.0], 'coinbasepro': [2.54, 0.3, 0.29, 0.23, 0.22, 0.22, 0.16, 0.11, 0.07, 0.02, 0.01, 0.0]})","bitmex-spot,exmo,lbank,okx,bingx,binance,kucoin,huobipro,bitso,crypto-com,bitmart,coinbasepro"
lido-staked-ether,"defaultdict(<class 'list'>, {'mxc': [1.31, 0.43, 0.26, 0.06, -0.24, -0.37, -1.3, 0.0], 'okx': [1.29, 0.37, 0.24, -0.18, -0.34, -1.25, -0.02, 0.0], 'bingx': [1.23, 0.34, 0.18, -0.28, -1.22, 0.02, -0.08, 0.0], 'bybit-spot': [1.2, 0.28, -0.11, -1.16, 0.08, -0.06, -0.11, 0.0], 'bitget': [1.14, 0.11, -0.98, 0.11, 0.06, -0.08, -0.17, 0.0], 'latoken': [0.97, -0.87, 0.17, 0.08, -0.03, -0.14, -0.34, 0.0], 'gateio': [0.86, 0.34, 0.14, 0.03, -0.09, -0.32, -0.45, 0.0], 'huobipro': [0.45, 0.32, 0.09, -0.06, -0.26, -0.43, -1.33, 0.0]})","huobipro,gateio,latoken,bitget,bybit-spot,bingx,okx,mxc"
ripple,"defaultdict(<class 'list'>, {'fatbtc': [38.3, 37.5, 37.4, 37.4, 37.4, 37.4, 37.4, 37.4, 37.4, 37.4, 37.4, 37.4], 'yobit': [2.35, 1.04, 1.02, 1.02, 1.0, 1.0, 1.0, 0.98, 0.98, 0.96, 0.96, 0.95], 'xeggex': [1.8, 0.48, 0.46, 0.46, 0.44, 0.44, 0.44, 0.43, 0.43, 0.41, 0.4, 0.4], 'bitmax': [1.55, 0.23, 0.21, 0.21, 0.19, 0.19, 0.19, 0.18, 0.17, 0.15, 0.15, 0.14], 'crypto-com': [1.49, 0.17, 0.15, 0.15, 0.13, 0.13, 0.13, 0.12, 0.12, 0.09, 0.09, 0.08], 'huobipro': [1.49, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.09, 0.08, 0.08], 'kucoin': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07], 'binance': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07], 'gateio': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07], 'probit': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07], 'coinbasepro': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07], 'bitstamp': [1.48, 0.16, 0.14, 0.14, 0.12, 0.12, 0.12, 0.11, 0.11, 0.08, 0.08, 0.07]})","cex,phemex-spot,tidex,coinsbit,fastex,bingx,okx,btcalpha,exmo,bitso,btcturk-pro,oceanex"
dogecoin,"defaultdict(<class 'list'>, {'yobit': [0.84, 0.81, 0.75, 0.75, 0.74, 0.73, 0.72, 0.7, 0.69, 0.69, 0.65, 0.63], 'xeggex': [0.69, 0.66, 0.6, 0.6, 0.59, 0.57, 0.57, 0.54, 0.54, 0.54, 0.49, 0.48], 'probit': [0.53, 0.5, 0.44, 0.44, 0.43, 0.42, 0.41, 0.39, 0.38, 0.38, 0.34, 0.32], 'bitmax': [0.38, 0.35, 0.3, 0.29, 0.28, 0.27, 0.26, 0.24, 0.23, 0.23, 0.19, 0.18], 'exmo': [0.35, 0.32, 0.26, 0.26, 0.25, 0.23, 0.23, 0.2, 0.2, 0.2, 0.15, 0.14], 'coinw': [0.34, 0.31, 0.25, 0.25, 0.24, 0.23, 0.22, 0.2, 0.19, 0.19, 0.15, 0.13], 'bigone': [0.34, 0.31, 0.25, 0.25, 0.24, 0.22, 0.21, 0.19, 0.18, 0.18, 0.14, 0.13], 'fastex': [0.34, 0.31, 0.25, 0.25, 0.24, 0.22, 0.21, 0.19, 0.18, 0.18, 0.14, 0.13], 'mxc': [0.33, 0.3, 0.24, 0.24, 0.23, 0.22, 0.21, 0.18, 0.18, 0.18, 0.13, 0.12], 'p2pb2b': [0.33, 0.3, 0.24, 0.24, 0.23, 0.22, 0.21, 0.18, 0.18, 0.18, 0.13, 0.12], 'coinlist': [0.31, 0.28, 0.22, 0.22, 0.21, 0.19, 0.18, 0.16, 0.15, 0.15, 0.11, 0.1], 'tidex': [0.27, 0.24, 0.18, 0.18, 0.17, 0.15, 0.15, 0.12, 0.12, 0.12, 0.07, 0.06]})","coinbasepro,btcturk-pro,oceanex,bybit-spot,bitget,bydfi,binance-us,bingx,kucoin,binance,huobipro,okx"
toncoin,"defaultdict(<class 'list'>, {'bitmax': [2.08, 2.03, 2.0, 2.0, 1.96, 1.94, 1.93, 0.12, 0.09, 0.06, 0.04, 0.01], 'cryptology': [0.29, 0.23, 0.2, 0.2, 0.16, 0.14, 0.13, 0.1, 0.08, 0.05, 0.04, -0.03], 'bitmart': [0.26, 0.2, 0.18, 0.17, 0.13, 0.12, 0.1, 0.09, 0.07, 0.05, 0.03, -0.04], 'bigone': [0.26, 0.2, 0.17, 0.17, 0.13, 0.11, 0.1, 0.08, 0.07, 0.04, -0.01, -0.06], 'mxc': [0.25, 0.19, 0.16, 0.16, 0.12, 0.1, 0.09, 0.08, 0.06, 0.01, -0.03, -0.07], 'coinex': [0.24, 0.19, 0.16, 0.15, 0.12, 0.1, 0.09, 0.07, 0.03, -0.02, -0.04, -0.08], 'gateio': [0.23, 0.18, 0.15, 0.14, 0.1, 0.09, 0.08, 0.04, 0.02, -0.03, -0.05, 0.0], 'exmo': [0.2, 0.15, 0.12, 0.11, 0.07, 0.06, 0.05, 0.03, -0.01, -0.04, 1.86, 0.0], 'coinsbit': [0.19, 0.14, 0.11, 0.1, 0.06, 0.05, 0.04, 0.01, -0.02, 1.89, 0.05, 0.0], 'huobipro': [0.17, 0.12, 0.09, 0.08, 0.04, 0.03, 0.02, -0.01, 1.89, 0.08, 0.03, 0.0], 'bitrue': [0.16, 0.11, 0.08, 0.07, 0.03, 0.02, 0.01, 1.91, 0.09, 0.06, 0.02, 0.0], 'okx': [0.16, 0.1, 0.07, 0.06, 0.03, 0.01, 1.93, 0.11, 0.06, 0.05, 0.01, 0.0]})","coinw,bitget,bybit-spot,bingx,kucoin,lbank,okx,bitrue,huobipro,coinsbit,exmo,gateio"
cardano,"defaultdict(<class 'list'>, {'cex': [6.82, 6.82, 6.81, 6.79, 6.77, 6.76, 6.75, 6.75, 6.73, 6.73, 6.73, 6.71], 'upbit': [1.05, 1.05, 1.04, 1.02, 0.99, 0.99, 0.98, 0.98, 0.96, 0.96, 0.96, 0.93], 'binance-us': [0.37, 0.37, 0.35, 0.33, 0.31, 0.31, 0.3, 0.3, 0.27, 0.27, 0.27, 0.25], 'nonkyc': [0.35, 0.35, 0.34, 0.32, 0.29, 0.29, 0.28, 0.28, 0.25, 0.25, 0.25, 0.23], 'mxc': [0.32, 0.32, 0.31, 0.28, 0.26, 0.26, 0.25, 0.25, 0.22, 0.22, 0.22, 0.2], 'btcturk-pro': [0.32, 0.32, 0.31, 0.28, 0.26, 0.26, 0.25, 0.25, 0.22, 0.22, 0.22, 0.2], 'gateio': [0.3, 0.3, 0.28, 0.26, 0.24, 0.23, 0.22, 0.22, 0.2, 0.2, 0.2, 0.18], 'fastex': [0.3, 0.3, 0.28, 0.26, 0.24, 0.23, 0.22, 0.22, 0.2, 0.2, 0.2, 0.18], 'coinsbit': [0.16, 0.16, 0.15, 0.13, 0.1, 0.1, 0.09, 0.09, 0.06, 0.06, 0.06, 0.04], 'xeggex': [0.16, 0.16, 0.14, 0.12, 0.1, 0.09, 0.08, 0.08, 0.06, 0.06, 0.06, 0.04], 'okx': [0.15, 0.15, 0.13, 0.11, 0.09, 0.09, 0.07, 0.07, 0.05, 0.05, 0.05, 0.03], 'kucoin': [0.15, 0.15, 0.13, 0.11, 0.09, 0.09, 0.07, 0.07, 0.05, 0.05, 0.05, 0.03]})","bydfi,bybit-spot,bitget,oceanex,bitmax,btse,bingx,binance,coinex,exmo,p2pb2b,kraken"
shiba-inu,"defaultdict(<class 'list'>, {'cex': [20.9, 20.0, 19.9, 19.9, 19.9, 19.9, 19.9, 19.8, 19.8, 19.8, 19.8, 19.8], 'exmo': [3.85, 2.8, 2.7, 2.65, 2.64, 2.63, 2.63, 2.58, 2.55, 2.55, 2.55, 2.55], 'fastex': [1.54, 0.46, 0.36, 0.31, 0.3, 0.29, 0.28, 0.24, 0.2, 0.2, 0.2, 0.2], 'bitmax': [1.48, 0.41, 0.31, 0.26, 0.25, 0.24, 0.23, 0.18, 0.15, 0.15, 0.15, 0.15], 'mxc': [1.48, 0.41, 0.31, 0.26, 0.25, 0.24, 0.23, 0.18, 0.15, 0.15, 0.15, 0.15], 'okx': [1.46, 0.38, 0.28, 0.23, 0.23, 0.21, 0.21, 0.16, 0.13, 0.13, 0.13, 0.13], 'bingx': [1.43, 0.36, 0.26, 0.2, 0.2, 0.19, 0.18, 0.13, 0.1, 0.1, 0.1, 0.1], 'binance-us': [1.43, 0.36, 0.26, 0.2, 0.2, 0.19, 0.18, 0.13, 0.1, 0.1, 0.1, 0.1], 'kraken': [1.43, 0.36, 0.26, 0.2, 0.2, 0.19, 0.18, 0.13, 0.1, 0.1, 0.1, 0.1], 'digifinex': [1.41, 0.34, 0.24, 0.18, 0.18, 0.17, 0.16, 0.11, 0.08, 0.08, 0.08, 0.08], 'kucoin': [1.39, 0.31, 0.21, 0.16, 0.15, 0.14, 0.14, 0.09, 0.06, 0.06, 0.06, 0.06], 'gateio': [1.38, 0.31, 0.21, 0.15, 0.15, 0.14, 0.13, 0.08, 0.05, 0.05, 0.05, 0.05]})","xeggex,btcturk-pro,indodax,probit,cryptology,bitget,bybit-spot,bigone,deepcoin,bydfi,coinbasepro,p2pb2b"
avalanche,"defaultdict(<class 'list'>, {'kucoin': [0.62, 0.6, 0.56, 0.42, 0.38, 0.37, 0.35, 0.32, 0.32, 0.32, 0.31, 0.28], 'coinex': [0.62, 0.59, 0.56, 0.42, 0.38, 0.37, 0.35, 0.31, 0.31, 0.31, 0.3, 0.27], 'okx': [0.61, 0.59, 0.55, 0.41, 0.37, 0.37, 0.34, 0.31, 0.31, 0.31, 0.3, 0.27], 'coinw': [0.61, 0.59, 0.55, 0.41, 0.37, 0.37, 0.34, 0.31, 0.31, 0.31, 0.3, 0.27], 'btse': [0.56, 0.53, 0.5, 0.36, 0.32, 0.31, 0.29, 0.25, 0.25, 0.25, 0.24, 0.22], 'bigone': [0.55, 0.52, 0.49, 0.35, 0.31, 0.3, 0.28, 0.24, 0.24, 0.24, 0.23, 0.21], 'bitrue': [0.55, 0.52, 0.49, 0.35, 0.31, 0.3, 0.28, 0.24, 0.24, 0.24, 0.23, 0.21], 'crypto-com': [0.54, 0.52, 0.48, 0.34, 0.31, 0.3, 0.27, 0.24, 0.24, 0.24, 0.23, 0.2], 'fmfwio': [0.53, 0.5, 0.46, 0.33, 0.29, 0.28, 0.26, 0.22, 0.22, 0.22, 0.21, 0.18], 'bybit-spot': [0.49, 0.46, 0.43, 0.29, 0.25, 0.24, 0.22, 0.18, 0.18, 0.18, 0.17, 0.15], 'tidex': [0.48, 0.45, 0.42, 0.28, 0.24, 0.23, 0.21, 0.17, 0.17, 0.17, 0.16, 0.14], 'kraken': [0.48, 0.45, 0.42, 0.28, 0.24, 0.23, 0.21, 0.17, 0.17, 0.17, 0.16, 0.14]})","nonkyc,bitmart,bitmax,whitebit,bitget,coinsbit,mxc,coinbasepro,gateio,lbank,latoken,poloniex"
chainlink,"defaultdict(<class 'list'>, {'cex': [20.9, 20.0, 19.9, 19.8, 19.8, 19.7, 19.7, 19.7, 19.7, 19.7, 19.7, 19.6], 'coinlist': [1.75, 0.59, 0.5, 0.4, 0.38, 0.29, 0.27, 0.23, 0.23, 0.21, 0.2, 0.19], 'bitmax': [1.74, 0.58, 0.49, 0.39, 0.37, 0.28, 0.26, 0.22, 0.22, 0.2, 0.19, 0.18], 'poloniex': [1.68, 0.52, 0.44, 0.34, 0.31, 0.22, 0.21, 0.16, 0.16, 0.15, 0.13, 0.13], 'btcturk-pro': [1.66, 0.5, 0.41, 0.31, 0.29, 0.2, 0.18, 0.14, 0.14, 0.12, 0.11, 0.1], 'bitrue': [1.63, 0.47, 0.38, 0.29, 0.26, 0.17, 0.15, 0.11, 0.11, 0.1, 0.08, 0.08], 'crypto-com': [1.62, 0.46, 0.37, 0.27, 0.25, 0.16, 0.14, 0.1, 0.1, 0.08, 0.07, 0.06], 'kucoin': [1.61, 0.45, 0.37, 0.27, 0.24, 0.15, 0.13, 0.09, 0.09, 0.08, 0.06, 0.06], 'binance': [1.61, 0.45, 0.36, 0.27, 0.24, 0.15, 0.13, 0.09, 0.09, 0.08, 0.06, 0.05], 'huobipro': [1.6, 0.44, 0.36, 0.26, 0.23, 0.14, 0.13, 0.08, 0.08, 0.07, 0.05, 0.05], 'nonkyc': [1.6, 0.43, 0.35, 0.25, 0.22, 0.13, 0.12, 0.08, 0.07, 0.06, 0.04, 0.04], 'kraken': [1.59, 0.43, 0.35, 0.25, 0.22, 0.13, 0.12, 0.07, 0.07, 0.06, 0.04, 0.04]})","bitmex-spot,coinbasepro,fmfwio,binance-us,coinex,okx,coinw,btse,bybit-spot,oceanex,gateio,phemex-spot"
